Date,SPY_return,SPY_lag1,SPY_lag2,SPY_lag3,MA_10,MA_50,momentum_10,momentum_30,volatility_30,target
2010-03-16,0.007966405780583719,0.00025946240727914294,8.658303784558896e-05,0.004175195280264887,85.95828399658203,83.72158462524413,0.03752255485194067,0.06739377361681886,0.008870691913653174,0.005927408097439635
2010-03-17,0.005927408097439635,0.007966405780583719,0.00025946240727914294,8.658303784558896e-05,86.31841201782227,83.77815490722656,0.04274253370490655,0.06088034237010631,0.00870337089752911,-0.0005121782137034181
2010-03-18,-0.0005121782137034181,0.005927408097439635,0.007966405780583719,0.00025946240727914294,86.64853210449219,83.82932403564453,0.03906271864135635,0.0656470132487108,0.008617376442481148,-0.005061763524007112
2010-03-19,-0.005061763524007112,-0.0005121782137034181,0.005927408097439635,0.007966405780583719,86.81341018676758,83.87040328979492,0.019234896006384172,0.09402109021052962,0.006138810619730664,0.005346174421462013
2010-03-22,0.005346174421462013,-0.005061763524007112,-0.0005121782137034181,0.005927408097439635,87.02349472045898,83.91362060546875,0.02450444838472121,0.09760104598563246,0.006150477428139303,0.007033084744549667
2010-03-23,0.007033084744549667,0.005346174421462013,-0.005061763524007112,-0.0005121782137034181,87.28110046386719,83.96349090576172,0.029997493760387295,0.113358314590988,0.00586766033415191,-0.004854852126474407
2010-03-24,-0.004854852126474407,0.007033084744549667,0.005346174421462013,-0.005061763524007112,87.45750198364257,84.00237197875977,0.020450363866875598,0.09420943778758839,0.005812064019994134,-0.0016261211165101708
2010-03-25,-0.0016261211165101708,-0.004854852126474407,0.007033084744549667,0.005346174421462013,87.58357543945313,84.05444641113282,0.01455502263974684,0.09457391714866148,0.005802549821051623,-0.0006000776142053299
2010-03-26,-0.0006000776142053299,-0.0016261211165101708,-0.004854852126474407,0.007033084744549667,87.70362548828125,84.09106109619141,0.013858427939644757,0.08258659960765202,0.005663806704309546,0.006347598309113911
2010-03-29,0.006347598309113911,-0.0006000776142053299,-0.0016261211165101708,-0.004854852126474407,87.87717666625977,84.13417343139649,0.02002933471583468,0.09036601861214333,0.005662664708445909,0.0006820220759005124
2010-03-30,0.0006820220759005124,0.006347598309113911,-0.0006000776142053299,-0.0016261211165101708,87.98772811889648,84.19784851074219,0.012657774491713125,0.07420688474193438,0.005128135098725591,-0.003407613669790255
2010-03-31,-0.003407613669790255,0.0006820220759005124,0.006347598309113911,-0.0006000776142053299,88.01637191772461,84.23418853759766,0.003260294821173071,0.06549790595322413,0.005215069242912405,0.0068379245095695484
2010-04-01,0.0068379245095695484,-0.003407613669790255,0.0006820220759005124,0.006347598309113911,88.10978698730469,84.30013870239257,0.010638139817761294,0.06649619205624369,0.0052413060125529026,0.00814928319698316
2010-04-05,0.00814928319698316,0.0068379245095695484,-0.003407613669790255,0.0006820220759005124,88.31997146606446,84.41341537475586,0.024057653907839427,0.07296260917779707,0.005353962235995792,0.002357664571561724
2010-04-06,0.002357664571561724,0.00814928319698316,0.0068379245095695484,-0.003407613669790255,88.50454177856446,84.56827392578126,0.021013521982504946,0.07529857367622728,0.0053380709891497615,-0.00571210685399226
